"Plot Title: 1418 Closet and Attic "
"#","Time, GMT-08:00","Temp, ¡C()","RH, %()","Intensity, Lux()","Temp, ¡C()"
63,09-02-21 16:05:00 ,17.177,68.513,11.8,17.867
64,09-02-21 16:10:00 ,17.177,68.458,11.8,17.843
65,09-02-21 16:15:00 ,17.225,68.438,11.8,17.843
66,09-02-21 16:20:00 ,17.225,68.410,11.8,17.819
67,09-02-21 16:25:00 ,17.249,68.359,11.8,17.796
68,09-02-21 16:30:00 ,17.272,68.335,11.8,17.772
69,09-02-21 16:35:00 ,17.296,68.312,11.8,17.748
70,09-02-21 16:40:00 ,17.320,68.288,11.8,17.724
71,09-02-21 16:45:00 ,17.320,68.232,11.8,17.701
72,09-02-21 16:50:00 ,17.344,68.208,11.8,17.677
73,09-02-21 16:55:00 ,17.368,68.185,11.8,17.629
74,09-02-21 17:00:00 ,17.391,68.133,11.8,17.605
75,09-02-21 17:05:00 ,17.391,68.077,11.8,17.558
76,09-02-21 17:10:00 ,17.415,68.053,11.8,17.510
77,09-02-21 17:15:00 ,17.415,67.997,11.8,17.463
78,09-02-21 17:20:00 ,17.439,67.974,11.8,17.415
79,09-02-21 17:25:00 ,17.439,67.918,11.8,17.391
80,09-02-21 17:30:00 ,17.463,67.894,11.8,17.320
81,09-02-21 17:35:00 ,17.463,67.838,11.8,17.272
82,09-02-21 17:40:00 ,17.463,67.810,11.8,17.177
83,09-02-21 17:45:00 ,17.486,67.758,11.8,17.106
84,09-02-21 17:50:00 ,17.486,67.730,11.8,17.058
85,09-02-21 17:55:00 ,17.486,67.674,11.8,17.011
86,09-02-21 18:00:00 ,17.510,67.622,11.8,16.939
87,09-02-21 18:05:00 ,17.510,67.622,11.8,16.915
88,09-02-21 18:10:00 ,17.510,67.622,11.8,16.868
89,09-02-21 18:15:00 ,17.510,67.622,11.8,16.796
90,09-02-21 18:20:00 ,17.510,67.622,11.8,16.749
91,09-02-21 18:25:00 ,17.534,67.598,11.8,16.725
92,09-02-21 18:30:00 ,17.534,67.626,11.8,16.701
93,09-02-21 18:35:00 ,17.534,67.626,11.8,16.654
94,09-02-21 18:40:00 ,17.534,67.626,11.8,16.606
95,09-02-21 18:45:00 ,17.558,67.630,11.8,16.582
96,09-02-21 18:50:00 ,17.558,67.630,11.8,16.558
97,09-02-21 18:55:00 ,17.558,67.630,11.8,16.511
98,09-02-21 19:00:00 ,17.558,67.602,11.8,16.511
99,09-02-21 19:05:00 ,17.558,67.602,11.8,16.487
100,09-02-21 19:10:00 ,17.558,67.574,11.8,16.463
101,09-02-21 19:15:00 ,17.558,67.546,11.8,16.415
102,09-02-21 19:20:00 ,17.558,67.546,11.8,16.415
103,09-02-21 19:25:00 ,17.558,67.518,11.8,16.392
104,09-02-21 19:30:00 ,17.582,67.466,11.8,16.368
105,09-02-21 19:35:00 ,17.582,67.438,11.8,16.320
106,09-02-21 19:40:00 ,17.582,67.382,11.8,16.272
107,09-02-21 19:45:00 ,17.558,67.321,11.8,16.249
108,09-02-21 19:50:00 ,17.558,67.293,11.8,16.201
109,09-02-21 19:55:00 ,17.558,67.377,11.8,16.201
110,09-02-21 20:00:00 ,17.558,67.518,11.8,16.272
111,09-02-21 20:05:00 ,17.582,68.055,11.8,16.487
112,09-02-21 20:10:00 ,17.653,68.432,11.8,16.749
113,09-02-21 20:15:00 ,17.724,68.891,11.8,17.082
114,09-02-21 20:20:00 ,17.843,69.192,11.8,17.391
115,09-02-21 20:25:00 ,17.986,69.412,11.8,17.701
116,09-02-21 20:30:00 ,18.152,69.610,11.8,18.033
117,09-02-21 20:35:00 ,18.319,69.696,11.8,18.343
118,09-02-21 20:40:00 ,18.485,69.587,11.8,18.533
119,09-02-21 20:45:00 ,18.652,69.340,11.8,18.604
120,09-02-21 20:50:00 ,18.794,69.031,11.8,18.461
121,09-02-21 20:55:00 ,18.913,68.744,11.8,18.271
122,09-02-21 21:00:00 ,18.985,68.448,11.8,18.105
123,09-02-21 21:05:00 ,19.032,68.204,11.8,17.986
124,09-02-21 21:10:00 ,19.080,68.043,11.8,17.915
125,09-02-21 21:15:00 ,19.103,67.878,11.8,17.843
126,09-02-21 21:20:00 ,19.127,67.741,11.8,17.748
127,09-02-21 21:25:00 ,19.127,67.685,11.8,17.701
128,09-02-21 21:30:00 ,19.127,67.826,11.8,17.819
129,09-02-21 21:35:00 ,19.199,68.008,11.8,18.176
130,09-02-21 21:40:00 ,19.246,67.960,11.8,18.224
131,09-02-21 21:45:00 ,19.318,67.860,11.8,18.247
132,09-02-21 21:50:00 ,19.365,67.699,11.8,18.152
133,09-02-21 21:55:00 ,19.413,67.566,11.8,18.057
134,09-02-21 22:00:00 ,19.413,67.453,11.8,17.962
135,09-02-21 22:05:00 ,19.413,67.368,11.8,17.843
136,09-02-21 22:10:00 ,19.436,67.287,11.8,17.772
137,09-02-21 22:15:00 ,19.413,67.197,11.8,17.701
138,09-02-21 22:20:00 ,19.413,67.140,11.8,17.653
139,09-02-21 22:25:00 ,19.413,67.084,11.8,17.605
140,09-02-21 22:30:00 ,19.413,67.140,11.8,17.677
141,09-02-21 22:35:00 ,19.436,67.372,11.8,17.843
142,09-02-21 22:40:00 ,19.484,67.437,11.8,17.986
143,09-02-21 22:45:00 ,19.508,67.384,11.8,17.986
144,09-02-21 22:50:00 ,19.555,67.279,11.8,17.938
145,09-02-21 22:55:00 ,19.579,67.198,11.8,17.891
146,09-02-21 23:00:00 ,19.579,67.113,11.8,17.819
147,09-02-21 23:05:00 ,19.603,67.032,11.8,17.748
148,09-02-21 23:10:00 ,19.603,66.947,11.8,17.701
149,09-02-21 23:15:00 ,19.603,66.890,11.8,17.629
150,09-02-21 23:20:00 ,19.603,66.804,11.8,17.558
151,09-02-21 23:25:00 ,19.579,66.743,11.8,17.486
152,09-02-21 23:30:00 ,19.579,66.657,11.8,17.415
153,09-02-21 23:35:00 ,19.555,66.625,11.8,17.368
154,09-02-21 23:40:00 ,19.532,66.678,11.8,17.415
155,09-02-21 23:45:00 ,19.532,66.877,11.8,17.558
156,09-02-21 23:50:00 ,19.579,66.971,11.8,17.701
157,09-02-21 23:55:00 ,19.579,66.971,11.8,17.701
158,09-02-22 00:00:00 ,19.603,66.890,11.8,17.677
159,09-02-22 00:05:00 ,19.603,66.833,11.8,17.629
160,09-02-22 00:10:00 ,19.627,66.751,11.8,17.605
161,09-02-22 00:15:00 ,19.627,66.694,11.8,17.534
162,09-02-22 00:20:00 ,19.627,66.637,11.8,17.510
163,09-02-22 00:25:00 ,19.627,66.552,11.8,17.463
164,09-02-22 00:30:00 ,19.603,66.519,11.8,17.415
165,09-02-22 00:35:00 ,19.603,66.490,11.8,17.415
166,09-02-22 00:40:00 ,19.603,66.462,11.8,17.320
167,09-02-22 00:45:00 ,19.579,66.429,11.8,17.272
168,09-02-22 00:50:00 ,19.555,66.396,11.8,17.201
169,09-02-22 00:55:00 ,19.532,66.364,11.8,17.130
170,09-02-22 01:00:00 ,19.508,66.360,11.8,17.082
171,09-02-22 01:05:00 ,19.484,66.355,11.8,17.034
172,09-02-22 01:10:00 ,19.460,66.323,11.8,17.011
173,09-02-22 01:15:00 ,19.436,66.233,11.8,16.939
174,09-02-22 01:20:00 ,19.413,66.229,11.8,16.939
175,09-02-22 01:25:00 ,19.389,66.225,11.8,16.892
176,09-02-22 01:30:00 ,19.389,66.225,11.8,16.868
177,09-02-22 01:35:00 ,19.365,66.249,11.8,16.820
178,09-02-22 01:40:00 ,19.341,66.216,11.8,16.820
179,09-02-22 01:45:00 ,19.318,66.212,11.8,16.796
180,09-02-22 01:50:00 ,19.294,66.208,11.8,16.749
181,09-02-22 01:55:00 ,19.294,66.208,11.8,16.701
182,09-02-22 02:00:00 ,19.270,66.204,11.8,16.677
183,09-02-22 02:05:00 ,19.222,66.196,11.8,16.654
184,09-02-22 02:10:00 ,19.222,66.196,11.8,16.654
185,09-02-22 02:15:00 ,19.199,66.191,11.8,16.630
186,09-02-22 02:20:00 ,19.175,66.187,11.8,16.606
187,09-02-22 02:25:00 ,19.151,66.183,11.8,16.558
188,09-02-22 02:30:00 ,19.127,66.179,11.8,16.558
189,09-02-22 02:35:00 ,19.103,66.175,11.8,16.511
190,09-02-22 02:40:00 ,19.080,66.171,11.8,16.487
191,09-02-22 02:45:00 ,19.056,66.167,11.8,16.487
192,09-02-22 02:50:00 ,19.032,66.162,11.8,16.487
193,09-02-22 02:55:00 ,19.032,66.162,11.8,16.463
194,09-02-22 03:00:00 ,19.008,66.158,11.8,16.439
195,09-02-22 03:05:00 ,18.985,66.154,11.8,16.392
196,09-02-22 03:10:00 ,18.937,66.146,11.8,16.415
197,09-02-22 03:15:00 ,18.937,66.146,11.8,16.368
198,09-02-22 03:20:00 ,18.913,66.142,11.8,16.344
199,09-02-22 03:25:00 ,18.842,66.129,11.8,16.368
200,09-02-22 03:30:00 ,18.842,66.129,11.8,16.344
201,09-02-22 03:35:00 ,18.818,66.125,11.8,16.344
202,09-02-22 03:40:00 ,18.794,66.121,11.8,16.344
203,09-02-22 03:45:00 ,18.771,66.117,11.8,16.320
204,09-02-22 03:50:00 ,18.747,66.113,11.8,16.272
205,09-02-22 03:55:00 ,18.723,66.109,11.8,16.272
206,09-02-22 04:00:00 ,18.699,66.105,11.8,16.249
207,09-02-22 04:05:00 ,18.675,66.100,11.8,16.225
208,09-02-22 04:10:00 ,18.652,66.096,11.8,16.249
209,09-02-22 04:15:00 ,18.628,66.092,11.8,16.225
210,09-02-22 04:20:00 ,18.628,66.092,11.8,16.201
211,09-02-22 04:25:00 ,18.604,66.088,11.8,16.177
212,09-02-22 04:30:00 ,18.580,66.084,11.8,16.201
213,09-02-22 04:35:00 ,18.557,66.080,19.7,16.153
214,09-02-22 04:40:00 ,18.533,66.076,11.8,16.153
215,09-02-22 04:45:00 ,18.509,66.072,11.8,16.129
216,09-02-22 04:50:00 ,18.485,66.067,11.8,16.106
217,09-02-22 04:55:00 ,18.461,66.063,11.8,16.106
218,09-02-22 05:00:00 ,18.461,66.063,11.8,16.106
219,09-02-22 05:05:00 ,18.461,66.063,11.8,16.106
220,09-02-22 05:10:00 ,18.438,66.059,11.8,16.082
221,09-02-22 05:15:00 ,18.414,66.055,11.8,16.034
222,09-02-22 05:20:00 ,18.390,66.051,11.8,16.034
223,09-02-22 05:25:00 ,18.366,66.047,11.8,16.034
224,09-02-22 05:30:00 ,18.366,66.047,11.8,16.010
225,09-02-22 05:35:00 ,18.343,66.043,11.8,15.986
226,09-02-22 05:40:00 ,18.319,66.038,11.8,15.963
227,09-02-22 05:45:00 ,18.295,66.034,11.8,15.986
228,09-02-22 05:50:00 ,18.271,66.030,11.8,15.986
229,09-02-22 05:55:00 ,18.271,66.087,11.8,15.939
230,09-02-22 06:00:00 ,18.247,66.055,11.8,15.939
231,09-02-22 06:05:00 ,18.224,66.022,11.8,15.939
232,09-02-22 06:10:00 ,18.224,66.050,11.8,15.963
233,09-02-22 06:15:00 ,18.200,66.075,11.8,15.939
234,09-02-22 06:20:00 ,18.176,66.099,11.8,15.939
235,09-02-22 06:25:00 ,18.176,66.128,11.8,15.939
236,09-02-22 06:30:00 ,18.152,66.095,11.8,15.939
237,09-02-22 06:35:00 ,18.129,66.119,11.8,15.915
238,09-02-22 06:40:00 ,18.105,66.144,11.8,15.891
239,09-02-22 06:45:00 ,18.105,66.087,11.8,15.915
240,09-02-22 06:50:00 ,18.081,66.111,11.8,15.915
241,09-02-22 06:55:00 ,18.081,66.083,11.8,15.891
242,09-02-22 07:00:00 ,18.057,66.107,11.8,15.867
243,09-02-22 07:05:00 ,18.033,66.131,11.8,15.867
244,09-02-22 07:10:00 ,18.010,66.155,11.8,15.843
245,09-02-22 07:15:00 ,17.986,66.180,11.8,15.796
246,09-02-22 07:20:00 ,17.986,66.208,11.8,15.819
247,09-02-22 07:25:00 ,17.962,66.204,11.8,15.796
248,09-02-22 07:30:00 ,17.962,66.176,11.8,15.796
249,09-02-22 07:35:00 ,17.938,66.171,11.8,15.772
250,09-02-22 07:40:00 ,17.938,66.171,11.8,15.772
251,09-02-22 07:45:00 ,17.915,66.167,11.8,15.772
252,09-02-22 07:50:00 ,17.891,66.220,11.8,15.772
253,09-02-22 07:55:00 ,17.891,66.192,11.8,15.748
254,09-02-22 08:00:00 ,17.867,66.187,11.8,15.772
255,09-02-22 08:05:00 ,17.867,66.187,11.8,15.772
256,09-02-22 08:10:00 ,17.843,66.183,11.8,15.772
257,09-02-22 08:15:00 ,17.843,66.212,11.8,15.796
258,09-02-22 08:20:00 ,17.819,66.208,11.8,15.796
259,09-02-22 08:25:00 ,17.819,66.208,11.8,15.796
260,09-02-22 08:30:00 ,17.796,66.203,11.8,15.796
261,09-02-22 08:35:00 ,17.772,66.199,11.8,15.772
262,09-02-22 08:40:00 ,17.772,66.228,11.8,15.772
263,09-02-22 08:45:00 ,17.748,66.224,11.8,15.796
264,09-02-22 08:50:00 ,17.724,66.248,11.8,15.772
265,09-02-22 08:55:00 ,17.724,66.248,11.8,15.772
266,09-02-22 09:00:00 ,17.701,66.300,11.8,15.772
267,09-02-22 09:05:00 ,17.701,66.385,11.8,15.796
268,09-02-22 09:10:00 ,17.677,66.438,11.8,15.819
269,09-02-22 09:15:00 ,17.677,66.438,11.8,15.843
270,09-02-22 09:20:00 ,17.653,66.490,11.8,15.843
271,09-02-22 09:25:00 ,17.653,66.490,11.8,15.843
272,09-02-22 09:30:00 ,17.653,66.490,11.8,15.819
273,09-02-22 09:35:00 ,17.629,66.486,11.8,15.843
274,09-02-22 09:40:00 ,17.629,66.515,11.8,15.843
275,09-02-22 09:45:00 ,17.605,66.510,11.8,15.867
276,09-02-22 09:50:00 ,17.605,66.539,11.8,15.891
277,09-02-22 09:55:00 ,17.605,66.567,11.8,15.891
278,09-02-22 10:00:00 ,17.605,66.567,11.8,15.891
279,09-02-22 10:05:00 ,17.582,66.563,11.8,15.891
280,09-02-22 10:10:00 ,17.582,66.563,11.8,15.891
281,09-02-22 10:15:00 ,17.582,66.563,11.8,15.891
282,09-02-22 10:20:00 ,17.582,66.563,11.8,15.915
283,09-02-22 10:25:00 ,17.558,66.559,11.8,15.915
284,09-02-22 10:30:00 ,17.558,66.559,11.8,15.939
285,09-02-22 10:35:00 ,17.558,66.559,11.8,15.986
286,09-02-22 10:40:00 ,17.558,66.587,11.8,15.986
287,09-02-22 10:45:00 ,17.558,66.644,11.8,16.034
288,09-02-22 10:50:00 ,17.534,66.696,11.8,16.058
289,09-02-22 10:55:00 ,17.534,66.781,11.8,16.082
290,09-02-22 11:00:00 ,17.534,66.837,11.8,16.106
291,09-02-22 11:05:00 ,17.534,66.894,11.8,16.153
292,09-02-22 11:10:00 ,17.534,66.950,11.8,16.177
293,09-02-22 11:15:00 ,17.558,66.983,11.8,16.177
294,09-02-22 11:20:00 ,17.558,66.983,11.8,16.225
295,09-02-22 11:25:00 ,17.558,66.954,11.8,16.296
296,09-02-22 11:30:00 ,17.558,66.954,11.8,16.344
297,09-02-22 11:35:00 ,17.582,67.213,11.8,16.415
298,09-02-22 11:40:00 ,17.605,68.312,11.8,16.677
299,09-02-22 11:45:00 ,17.677,68.492,11.8,16.868
300,09-02-22 11:50:00 ,17.748,68.924,11.8,16.963
301,09-02-22 11:55:00 ,17.819,69.048,11.8,17.011
302,09-02-22 12:00:00 ,17.891,68.699,11.8,17.034
303,09-02-22 12:05:00 ,17.938,68.847,11.8,17.034
304,09-02-22 12:10:00 ,17.986,69.607,11.8,16.987
305,09-02-22 12:15:00 ,18.033,69.504,11.8,16.915
306,09-02-22 12:20:00 ,18.057,69.314,11.8,16.844
307,09-02-22 12:25:00 ,18.081,68.984,11.8,16.796
308,09-02-22 12:30:00 ,18.081,68.873,11.8,16.749
309,09-02-22 12:35:00 ,18.081,68.901,11.8,16.749
310,09-02-22 12:40:00 ,18.105,68.598,11.8,16.725
311,09-02-22 12:45:00 ,18.105,68.458,11.8,16.725
312,09-02-22 12:50:00 ,18.105,68.458,11.8,16.725
313,09-02-22 12:55:00 ,18.129,68.322,11.8,16.749
314,09-02-22 13:00:00 ,18.129,68.462,11.8,16.773
315,09-02-22 13:05:00 ,18.129,68.238,11.8,16.773
316,09-02-22 13:10:00 ,18.129,68.238,11.8,16.820
317,09-02-22 13:15:00 ,18.129,68.154,11.8,16.820
318,09-02-22 13:20:00 ,18.152,68.214,11.8,16.844
319,09-02-22 13:25:00 ,18.152,68.270,11.8,16.892
320,09-02-22 13:30:00 ,18.152,68.270,11.8,16.892
321,09-02-22 13:35:00 ,18.152,68.326,11.8,16.915
322,09-02-22 13:40:00 ,18.152,68.326,11.8,16.939
323,09-02-22 13:45:00 ,18.152,68.298,11.8,16.963
324,09-02-22 13:50:00 ,18.152,68.298,11.8,16.963
325,09-02-22 13:55:00 ,18.152,68.298,11.8,16.963
326,09-02-22 14:00:00 ,18.152,68.298,11.8,16.987
327,09-02-22 14:05:00 ,18.152,68.270,11.8,16.963
328,09-02-22 14:10:00 ,18.152,68.298,11.8,16.939
329,09-02-22 14:15:00 ,18.152,68.298,11.8,16.963
330,09-02-22 14:20:00 ,18.152,68.270,11.8,16.987
331,09-02-22 14:25:00 ,18.176,68.331,11.8,16.987
332,09-02-22 14:30:00 ,18.176,68.415,11.8,16.987
333,09-02-22 14:35:00 ,18.176,68.555,11.8,17.011
334,09-02-22 14:40:00 ,18.176,68.834,11.8,17.034
335,09-02-22 14:45:00 ,18.176,68.974,11.8,17.058
336,09-02-22 14:50:00 ,18.224,69.122,11.8,17.082
337,09-02-22 14:55:00 ,18.224,69.289,11.8,17.106
338,09-02-22 15:00:00 ,18.247,69.321,11.8,17.106
339,09-02-22 15:05:00 ,18.271,69.381,11.8,17.058
340,09-02-22 15:10:00 ,18.271,69.326,11.8,17.058
341,09-02-22 15:15:00 ,18.295,69.358,11.8,17.058
342,09-02-22 15:20:00 ,18.319,69.334,11.8,17.034
343,09-02-22 15:25:00 ,18.343,69.311,11.8,17.034
344,09-02-22 15:30:00 ,18.343,69.283,11.8,17.034
345,09-02-22 15:35:00 ,18.366,69.287,11.8,17.011
346,09-02-22 15:40:00 ,18.366,69.343,11.8,17.011
347,09-02-22 15:45:00 ,18.366,69.399,11.8,17.011
348,09-02-22 15:50:00 ,18.390,69.403,11.8,16.987
349,09-02-22 15:55:00 ,18.390,69.459,11.8,16.987
350,09-02-22 16:00:00 ,18.414,69.519,11.8,17.011
351,09-02-22 16:05:00 ,18.414,69.852,11.8,17.011
352,09-02-22 16:10:00 ,18.438,70.106,11.8,17.034
353,09-02-22 16:15:00 ,18.461,70.249,11.8,17.058
354,09-02-22 16:20:00 ,18.461,70.277,11.8,17.058
355,09-02-22 16:25:00 ,18.485,70.253,11.8,17.058
356,09-02-22 16:30:00 ,18.509,70.313,11.8,17.082
357,09-02-22 16:35:00 ,18.533,70.317,11.8,17.106
358,09-02-22 16:40:00 ,18.533,70.290,11.8,17.082
359,09-02-22 16:45:00 ,18.557,70.322,11.8,17.082
360,09-02-22 16:50:00 ,18.557,70.294,11.8,17.082
361,09-02-22 16:55:00 ,18.580,70.299,11.8,17.058
362,09-02-22 17:00:00 ,18.580,70.326,11.8,17.058
363,09-02-22 17:05:00 ,18.604,70.248,11.8,17.034
364,09-02-22 17:10:00 ,18.604,70.303,11.8,17.034
365,09-02-22 17:15:00 ,18.628,70.363,19.7,17.034
366,09-02-22 17:20:00 ,18.628,70.473,19.7,17.034
367,09-02-22 17:25:00 ,18.628,70.418,11.8,17.034
368,09-02-22 17:30:00 ,18.652,70.478,11.8,17.034
369,09-02-22 17:35:00 ,18.652,70.506,11.8,17.034
370,09-02-22 17:40:00 ,18.652,70.533,11.8,17.058
371,09-02-22 17:45:00 ,18.652,70.561,11.8,17.058
372,09-02-22 17:50:00 ,18.652,70.616,11.8,17.034
373,09-02-22 17:55:00 ,18.652,70.644,11.8,17.011
374,09-02-22 18:00:00 ,18.675,70.869,11.8,17.058
375,09-02-22 18:05:00 ,18.699,71.011,11.8,17.082
376,09-02-22 18:10:00 ,18.723,71.236,11.8,17.106
377,09-02-22 18:15:00 ,18.723,71.318,11.8,17.130
378,09-02-22 18:20:00 ,18.747,71.350,19.7,17.130
379,09-02-22 18:25:00 ,18.771,71.465,11.8,17.130
380,09-02-22 18:30:00 ,18.771,71.410,11.8,17.130
381,09-02-22 18:35:00 ,18.794,71.442,11.8,17.106
382,09-02-22 18:40:00 ,18.818,71.391,11.8,17.130
383,09-02-22 18:45:00 ,18.818,71.391,11.8,17.106
384,09-02-22 18:50:00 ,18.842,71.396,19.7,17.130
385,09-02-22 18:55:00 ,18.842,71.478,19.7,17.106
386,09-02-22 19:00:00 ,18.842,71.725,11.8,17.106
387,09-02-22 19:05:00 ,18.889,72.418,11.8,17.153
388,09-02-22 19:10:00 ,18.937,73.053,11.8,17.272
389,09-02-22 19:15:00 ,18.985,73.496,11.8,17.391
390,09-02-22 19:20:00 ,19.032,73.776,11.8,17.415
391,09-02-22 19:25:00 ,19.080,74.028,11.8,17.439
392,09-02-22 19:30:00 ,19.127,74.146,11.8,17.463
393,09-02-22 19:35:00 ,19.175,74.317,11.8,17.486
394,09-02-22 19:40:00 ,19.199,74.321,11.8,17.510
395,09-02-22 19:45:00 ,19.246,74.492,11.8,17.558
396,09-02-22 19:50:00 ,19.294,74.663,11.8,17.582
397,09-02-22 19:55:00 ,19.318,74.721,11.8,17.582
398,09-02-22 20:00:00 ,19.365,74.945,11.8,17.605
399,09-02-22 20:05:00 ,19.389,74.896,11.8,17.605
400,09-02-22 20:10:00 ,19.413,74.928,11.8,17.605
401,09-02-22 20:15:00 ,19.436,74.799,11.8,17.582
402,09-02-22 20:20:00 ,19.460,74.830,11.8,17.558
403,09-02-22 20:25:00 ,19.484,74.647,19.7,17.510
404,09-02-22 20:30:00 ,19.484,74.297,11.8,17.510
405,09-02-22 20:35:00 ,19.460,74.076,11.8,17.486
406,09-02-22 20:40:00 ,19.460,74.022,11.8,17.439
407,09-02-22 20:45:00 ,19.460,73.914,11.8,17.391
408,09-02-22 20:50:00 ,19.436,73.828,19.7,17.344
409,09-02-22 20:55:00 ,19.436,73.747,11.8,17.344
410,09-02-22 21:00:00 ,19.436,73.639,11.8,17.344
411,09-02-22 21:05:00 ,19.436,73.557,19.7,17.344
412,09-02-22 21:10:00 ,19.436,73.449,11.8,17.344
413,09-02-22 21:15:00 ,19.413,73.336,11.8,17.320
414,09-02-22 21:20:00 ,19.413,73.254,19.7,17.296
415,09-02-22 21:25:00 ,19.413,73.064,11.8,17.272
416,09-02-22 21:30:00 ,19.413,72.900,19.7,17.272
417,09-02-22 21:35:00 ,19.413,72.764,11.8,17.249
418,09-02-22 21:40:00 ,19.413,72.628,11.8,17.249
419,09-02-22 21:45:00 ,19.389,72.514,11.8,17.177
420,09-02-22 21:50:00 ,19.389,72.377,11.8,17.177
421,09-02-22 21:55:00 ,19.365,72.290,11.8,17.153
422,09-02-22 22:00:00 ,19.365,72.154,11.8,17.130
423,09-02-22 22:05:00 ,19.365,72.044,11.8,17.130
424,09-02-22 22:10:00 ,19.341,71.985,19.7,17.106
425,09-02-22 22:15:00 ,19.341,71.847,11.8,17.082
426,09-02-22 22:20:00 ,19.318,71.733,11.8,17.058
427,09-02-22 22:25:00 ,19.318,71.678,11.8,17.082
428,09-02-22 22:30:00 ,19.318,71.678,19.7,17.058
429,09-02-22 22:35:00 ,19.294,71.674,19.7,17.058
430,09-02-22 22:40:00 ,19.270,71.642,19.7,17.034
431,09-02-22 22:45:00 ,19.270,71.477,19.7,17.011
432,09-02-22 22:50:00 ,19.270,71.449,11.8,16.987
433,09-02-22 22:55:00 ,19.246,71.334,11.8,16.963
